계산일자,통화코드,시장평균환율
2020-03-09,CNY,171.41
2020-03-09,EUR,1337.76
2020-03-09,JPY,1123.73
2020-03-09,USD,1191.4
2020-03-10,CNY,173.3
2020-03-10,EUR,1368.92
2020-03-10,JPY,1165.02
2020-03-10,USD,1201.4
2020-03-11,CNY,172.38
2020-03-11,EUR,1362.62
2020-03-11,JPY,1153.6
2020-03-11,USD,1196.7
2020-03-12,CNY,171.37
2020-03-12,EUR,1350.68
2020-03-12,JPY,1138.46
2020-03-12,USD,1192.8
2020-03-13,CNY,172.06
2020-03-13,EUR,1356.65
2020-03-13,JPY,1156.11
2020-03-13,USD,1202
2020-03-16,CNY,174.03
2020-03-16,EUR,1367.02
2020-03-16,JPY,1160.61
2020-03-16,USD,1222.2
2020-03-17,CNY,173.79
2020-03-17,EUR,1355.29
2020-03-17,JPY,1140.32
2020-03-17,USD,1219.6
2020-03-18,CNY,177.15
2020-03-18,EUR,1386.43
2020-03-18,JPY,1164.93
2020-03-18,USD,1241.2
2020-03-19,CNY,176.17
2020-03-19,EUR,1363.56
2020-03-19,JPY,1154.58
2020-03-19,USD,1237.8
2020-03-20,CNY,180.35
2020-03-20,EUR,1396.23
2020-03-20,JPY,1175.13
2020-03-20,USD,1280.1
2020-03-23,CNY,176.16
2020-03-23,EUR,1344.66
2020-03-23,JPY,1135.99
2020-03-23,USD,1254.1
2020-03-24,CNY,179.01
2020-03-24,EUR,1366.55
2020-03-24,JPY,1157.04
2020-03-24,USD,1274.6
2020-03-25,CNY,176.95
2020-03-25,EUR,1356.15
2020-03-25,JPY,1137.89
2020-03-25,USD,1256
2020-03-26,CNY,173.96
2020-03-26,EUR,1329.75
2020-03-26,JPY,1108.11
2020-03-26,USD,1230.7
2020-03-27,CNY,172.35
2020-03-27,EUR,1339.44
2020-03-27,JPY,1109.3
2020-03-27,USD,1227.9
2020-03-30,CNY,171.2
2020-03-30,EUR,1340
2020-03-30,JPY,1116.06
2020-03-30,USD,1212.4
2020-03-31,CNY,172.16
2020-03-31,EUR,1356.71
2020-03-31,JPY,1137.24
2020-03-31,USD,1222.6
2020-04-01,CNY,171.77
2020-04-01,EUR,1344.94
2020-04-01,JPY,1126.32
2020-04-01,USD,1220
2020-04-02,CNY,172.27
2020-04-02,EUR,1346.96
2020-04-02,JPY,1136.23
2020-04-02,USD,1222.2
2020-04-03,CNY,173.74
2020-04-03,EUR,1354.37
2020-04-03,JPY,1152.51
2020-04-03,USD,1237.6
2020-04-06,CNY,173.2
2020-04-06,EUR,1333.64
2020-04-06,JPY,1138.97
2020-04-06,USD,1229.8
2020-04-07,CNY,173.55
2020-04-07,EUR,1334.59
2020-04-07,JPY,1132.86
2020-04-07,USD,1233.4
2020-04-08,CNY,172.26
2020-04-08,EUR,1321.54
2020-04-08,JPY,1122.52
2020-04-08,USD,1222.4
2020-04-09,CNY,172.45
2020-04-09,EUR,1325.95
2020-04-09,JPY,1121.35
2020-04-09,USD,1219.7
2020-04-10,CNY,171.93
2020-04-10,EUR,1321.14
2020-04-10,JPY,1116.3
2020-04-10,USD,1216.4
2020-04-13,CNY,171.95
2020-04-13,EUR,1324.94
2020-04-13,JPY,1117.52
2020-04-13,USD,1212.3
2020-04-14,CNY,172.73
2020-04-14,EUR,1332.34
2020-04-14,JPY,1127.27
2020-04-14,USD,1218.7
2020-04-16,CNY,172.54
2020-04-16,EUR,1330.11
2020-04-16,JPY,1130.15
2020-04-16,USD,1216.7
2020-04-17,CNY,173.36
2020-04-17,EUR,1336.29
2020-04-17,JPY,1138.55
2020-04-17,USD,1227.5
2020-04-20,CNY,172.29
2020-04-20,EUR,1325.25
2020-04-20,JPY,1131.74
2020-04-20,USD,1219.3
2020-04-21,CNY,172.08
2020-04-21,EUR,1323.95
2020-04-21,JPY,1130.5
2020-04-21,USD,1218.7
2020-04-22,CNY,173.63
2020-04-22,EUR,1335.98
2020-04-22,JPY,1145.15
2020-04-22,USD,1231.3
2020-04-23,CNY,173.98
2020-04-23,EUR,1340.55
2020-04-23,JPY,1146.67
2020-04-23,USD,1235.2
2020-04-24,CNY,173.6
2020-04-24,EUR,1332.53
2020-04-24,JPY,1143.03
2020-04-24,USD,1232
2020-04-27,CNY,174.2
2020-04-27,EUR,1330.79
2020-04-27,JPY,1147.86
2020-04-27,USD,1235.8
2020-04-28,CNY,173.75
2020-04-28,EUR,1332.73
2020-04-28,JPY,1145.58
2020-04-28,USD,1230.3
2020-04-29,CNY,172.76
2020-04-29,EUR,1326.7
2020-04-29,JPY,1142.37
2020-04-29,USD,1225.2
2020-05-04,CNY,172.09
2020-05-04,EUR,1321.55
2020-05-04,JPY,1143.24
